date,closing_price$
2023-01-20,108.66
2023-01-23,108.61
2023-01-24,108.05
2023-01-25,108.83
2023-01-27,109.85
2023-01-30,109.76
2023-01-31,110.06
2023-02-01,110.15
2023-02-02,109.73
2023-02-03,111.15
2023-02-06,110.75
2023-02-07,110.3
2023-02-08,110.32
2023-02-09,110.21
2023-02-10,109.95
2023-02-13,109.3
2023-02-14,109.25
2023-02-15,103.0
2023-02-16,101.5
2023-02-17,100.97
2023-02-20,102.23
2023-02-21,101.52
2023-02-22,99.2
2023-02-23,99.9
2023-02-24,101.22
2023-02-27,101.39
2023-02-28,100.69
2023-03-01,99.05
2023-03-02,97.07
2023-03-03,97.75
2023-03-06,98.6
2023-03-07,98.9
2023-03-08,98.41
2023-03-09,98.72
2023-03-10,95.51
2023-03-13,95.12
2023-03-14,95.28
2023-03-15,95.4
2023-03-16,95.3
2023-03-17,96.45
2023-03-20,96.08
2023-03-21,96.52
2023-03-22,97.14
2023-03-23,97.03
2023-03-24,95.84
2023-03-27,95.07
2023-03-28,96.06
2023-03-29,96.34
2023-03-30,97.75
2023-03-31,98.32
2023-04-03,99.27
2023-04-04,98.98
2023-04-05,99.06
2023-04-06,99.01
2023-04-11,99.76
2023-04-12,99.23
2023-04-13,98.22
2023-04-14,99.11
2023-04-17,99.74
2023-04-18,99.4
2023-04-19,99.37
2023-04-20,100.92
2023-04-21,99.8
2023-04-24,100.11
2023-04-26,99.89
2023-04-27,99.1
2023-04-28,99.36
2023-05-01,100.44
2023-05-02,100.1
2023-05-03,98.29
2023-05-04,95.76
2023-05-05,96.13
2023-05-08,97.12
2023-05-09,97.34
2023-05-10,97.85
2023-05-11,98.35
2023-05-12,98.96
2023-05-15,98.5
2023-05-16,97.59
2023-05-17,97.14
2023-05-18,98.0
2023-05-19,99.8
2023-05-22,98.9
2023-05-23,99.44
2023-05-24,99.93
2023-05-25,97.72
2023-05-26,98.16
2023-05-29,99.57
2023-05-30,99.18
2023-05-31,96.78
2023-06-01,96.8
2023-06-02,96.91
2023-06-05,97.5
2023-06-06,96.56
2023-06-07,95.69
2023-06-08,95.89
2023-06-09,95.8
2023-06-13,96.52
2023-06-14,97.37
2023-06-15,97.99
2023-06-16,99.35
2023-06-19,100.51
2023-06-20,101.62
2023-06-21,101.68
2023-06-22,100.08
2023-06-23,98.51
2023-06-26,97.93
2023-06-27,98.43
2023-06-28,99.54
2023-06-29,100.07
2023-06-30,100.27
2023-07-03,100.94
2023-07-04,102.28
2023-07-05,101.78
2023-07-06,100.43
2023-07-07,98.73
2023-07-10,98.52
2023-07-11,99.62
2023-07-12,99.15
2023-07-13,100.62
2023-07-14,101.33
2023-07-17,101.87
2023-07-18,102.57
2023-07-19,104.65
2023-07-20,105.25
2023-07-21,104.55
2023-07-24,104.43
2023-07-25,104.2
2023-07-26,105.0
2023-07-27,106.53
2023-07-28,105.5
2023-07-31,105.71
2023-08-01,105.85
2023-08-02,103.46
2023-08-03,102.46
2023-08-04,101.87
2023-08-07,101.85
2023-08-08,102.21
2023-08-09,104.85
2023-08-10,104.47
2023-08-11,104.4
2023-08-14,103.7
2023-08-15,103.51
2023-08-16,99.79
2023-08-17,99.65
2023-08-18,99.05
2023-08-21,98.45
2023-08-22,98.67
2023-08-23,99.45
2023-08-24,100.61
2023-08-25,99.57
2023-08-28,100.78
2023-08-29,101.03
2023-08-30,101.84
2023-08-31,102.18
2023-09-01,101.35
2023-09-04,102.01
2023-09-05,102.22
2023-09-06,101.51
2023-09-07,100.9
2023-09-08,100.81
2023-09-11,102.04
2023-09-12,102.11
2023-09-13,101.7
2023-09-14,102.13
2023-09-15,103.16
2023-09-18,102.63
2023-09-19,102.13
2023-09-20,101.84
2023-09-21,100.08
2023-09-22,100.06
2023-09-25,99.88
2023-09-26,100.08
2023-09-27,100.53
2023-09-28,99.95
2023-09-29,99.97
2023-10-02,99.85
2023-10-03,99.69
2023-10-04,98.09
2023-10-05,98.98
2023-10-06,100.04
2023-10-09,100.03
2023-10-10,100.7
2023-10-11,100.64
2023-10-12,101.6
2023-10-13,100.97
2023-10-16,100.67
2023-10-17,101.2
2023-10-18,101.42
2023-10-19,99.78
2023-10-20,98.75
2023-10-23,97.82
2023-10-24,98.07
2023-10-25,97.35
2023-10-26,97.0
2023-10-27,97.8
2023-10-30,96.22
2023-10-31,96.56
2023-11-01,96.87
2023-11-02,98.43
2023-11-03,99.93
2023-11-06,100.42
2023-11-07,100.01
2023-11-08,100.69
2023-11-09,102.11
2023-11-10,101.32
2023-11-13,101.31
2023-11-14,102.28
2023-11-15,102.15
2023-11-16,102.29
2023-11-17,102.47
2023-11-20,103.17
2023-11-21,103.7
2023-11-22,103.8
2023-11-23,102.96
2023-11-24,103.69
2023-11-27,102.61
2023-11-28,103.34
2023-11-29,103.33
2023-11-30,104.66
2023-12-01,104.19
2023-12-04,105.12
2023-12-05,104.71
2023-12-06,106.34
2023-12-07,106.27
2023-12-08,106.44
2023-12-11,106.94
2023-12-12,107.41
2023-12-13,108.15
2023-12-14,109.52
2023-12-15,110.07
