date,ANZ.AX,BHP.AX,CBA.AX,FMG.AX,NAB.AX,RIO.AX,WBC.AX
2023-04-27,24.12,44.33,99.1,20.86,28.73,112.17,22.26
2023-04-28,24.35,44.4,99.36,20.94,28.84,112.25,22.47
2023-05-01,24.52,44.18,100.44,20.95,29.19,112.26,22.56
2023-05-02,24.42,43.63,100.1,20.84,29.09,111.14,22.55
2023-05-03,24.03,43.27,98.29,19.99,28.55,108.77,22.16
2023-05-04,23.46,43.97,95.76,20.28,26.72,110.14,21.25
2023-05-05,23.8,44.05,96.13,20.25,26.58,109.37,21.35
2023-05-08,23.83,44.72,97.12,20.64,27.1,111.96,21.74
2023-05-09,24.0,44.47,97.34,20.58,27.36,111.44,21.77
2023-05-10,24.11,44.45,97.85,20.63,26.26,110.92,21.7
2023-05-11,24.31,44.0,98.35,20.22,26.37,109.01,21.13
2023-05-12,24.5,43.48,98.96,20.1,26.41,107.96,21.09
2023-05-15,23.53,43.85,98.5,20.38,26.46,108.96,21.13
2023-05-16,23.54,44.08,97.59,20.3,26.46,108.77,21.13
2023-05-17,23.58,43.72,97.14,20.25,26.19,108.43,20.92
2023-05-18,23.64,44.24,98.0,20.53,26.4,109.98,20.96
2023-05-19,23.97,44.16,99.8,20.52,26.8,109.42,21.23
2023-05-22,23.79,44.2,98.9,20.56,26.57,109.24,21.06
2023-05-23,23.97,43.8,99.44,20.45,26.67,109.38,21.26
2023-05-24,23.96,42.82,99.93,19.62,26.61,107.06,21.23
2023-05-25,23.35,42.15,97.72,19.0,26.04,105.4,20.89
2023-05-26,23.47,42.75,98.16,19.62,26.23,107.77,20.92
2023-05-29,23.74,43.36,99.57,19.86,26.57,109.1,21.16
2023-05-30,23.41,43.49,99.18,19.82,26.52,109.3,21.11
2023-05-31,22.92,42.02,96.78,19.22,25.97,107.0,20.68
2023-06-01,22.73,42.07,96.8,19.37,26.04,107.42,20.6
2023-06-02,22.77,43.25,96.91,19.69,25.79,110.15,20.54
2023-06-05,23.12,44.0,97.5,20.4,26.05,111.59,20.77
2023-06-06,22.74,43.6,96.56,20.36,25.76,111.33,20.34
2023-06-07,22.73,43.62,95.69,20.16,25.3,111.63,20.03
2023-06-08,22.68,44.13,95.89,20.5,25.16,114.0,20.19
2023-06-09,22.85,44.72,95.8,20.79,25.2,114.58,20.25
2023-06-13,22.93,44.29,96.52,20.8,25.22,112.88,20.3
2023-06-14,22.92,45.9,97.37,21.7,25.51,116.15,20.56
2023-06-15,23.13,46.25,97.99,22.48,25.65,117.75,20.6
2023-06-16,23.28,46.42,99.35,22.51,25.85,118.0,20.91
2023-06-19,23.62,46.1,100.51,22.33,26.06,116.63,21.15
2023-06-20,23.8,46.72,101.62,22.4,26.5,117.4,21.43
2023-06-21,23.68,46.22,101.68,22.02,26.53,115.79,21.22
2023-06-22,23.3,45.12,100.08,21.53,26.15,114.39,21.04
2023-06-23,22.82,44.6,98.51,21.41,25.78,113.13,20.75
2023-06-26,22.77,44.45,97.93,21.34,25.57,112.74,20.68
2023-06-27,23.12,45.11,98.43,21.95,25.75,114.64,21.01
2023-06-28,23.43,45.42,99.54,22.01,26.25,115.79,21.4
2023-06-29,23.71,44.95,100.07,22.11,26.35,114.46,21.42
2023-06-30,23.71,44.99,100.27,22.18,26.37,114.69,21.34
2023-07-03,23.91,45.26,100.94,22.27,26.39,115.49,21.43
2023-07-04,24.19,45.2,102.28,22.08,26.72,114.15,21.68
2023-07-05,23.99,45.0,101.78,22.13,26.52,114.15,21.52
2023-07-06,23.53,43.97,100.43,21.75,25.96,112.58,21.15
2023-07-07,23.28,43.2,98.73,21.67,25.66,111.75,20.85
2023-07-10,23.26,42.72,98.52,21.23,25.64,110.48,20.84
2023-07-11,23.8,43.33,99.62,21.65,26.18,111.91,21.17
2023-07-12,24.02,44.07,99.15,22.19,26.42,113.75,21.21
2023-07-13,24.36,44.73,100.62,22.48,26.55,117.2,21.46
2023-07-14,24.44,45.52,101.33,22.79,26.92,119.02,21.46
2023-07-17,24.54,45.26,101.87,22.49,27.12,117.85,21.43
2023-07-18,24.95,44.82,102.57,22.71,27.67,116.88,21.6
2023-07-19,25.46,44.67,104.65,22.29,27.98,116.01,22.06
2023-07-20,25.35,44.62,105.25,22.59,27.94,116.43,22.12
2023-07-21,25.16,45.02,104.55,22.54,27.9,116.78,21.98
2023-07-24,25.12,44.34,104.43,22.19,27.69,115.25,21.96
2023-07-25,25.06,45.82,104.2,23.2,27.61,119.18,21.73
2023-07-26,25.46,46.88,105.0,23.73,28.04,120.81,22.09
2023-07-27,25.78,46.18,106.53,22.92,28.47,117.8,22.35
2023-07-28,25.76,45.8,105.5,21.68,28.38,116.62,22.28
2023-07-31,25.75,46.01,105.71,21.68,28.42,117.07,22.34
2023-08-01,25.88,46.37,105.85,21.98,28.58,116.87,22.43
2023-08-02,25.35,45.85,103.46,21.55,28.11,115.82,21.98
2023-08-03,25.26,45.31,102.46,21.28,27.93,113.88,21.9
2023-08-04,25.45,45.8,101.87,21.39,27.95,114.83,21.98
2023-08-07,25.3,45.57,101.85,21.05,27.96,113.94,21.83
2023-08-08,25.24,45.32,102.21,21.14,28.03,113.46,21.71
2023-08-09,25.43,45.5,104.85,21.18,28.64,112.85,22.07
2023-08-10,25.4,45.78,104.47,21.47,28.6,109.65,22.14
2023-08-11,25.35,45.73,104.4,21.0,28.56,109.0,22.15
2023-08-14,25.13,44.75,103.7,20.62,28.33,106.52,21.91
2023-08-15,25.08,44.62,103.51,20.82,28.7,106.05,21.97
2023-08-16,24.82,43.11,99.79,20.19,28.4,103.65,21.78
2023-08-17,24.59,43.11,99.65,20.13,27.81,104.77,21.36
2023-08-18,24.49,43.69,99.05,20.33,27.68,105.69,21.27
2023-08-21,24.24,43.52,98.45,20.42,27.57,104.82,20.62
2023-08-22,24.3,43.21,98.67,20.5,27.93,105.32,20.88
2023-08-23,24.45,44.03,99.45,21.02,28.04,107.84,21.14
2023-08-24,24.56,43.78,100.61,21.06,28.39,108.83,21.43
2023-08-25,24.34,43.02,99.57,20.93,27.89,107.9,21.32
2023-08-28,24.58,43.55,100.78,19.87,28.26,108.68,21.38
